11947,17044
2471,15437
11691,12225
11977,21053
6553,20505
1354,14002
6976,15692
14903,22836
1476,9318
5766,14417
8073,11409
12479,18211
2156,4002
1558,13505
289,8892
11777,13847
5191,5900
10561,19089
8892,13531
5908,12995
10512,13291
11607,16560
6537,17430
21589,21934
8801,13645
7330,22848
829,5863
2495,14723
4799,15050
779,12567
12870,16763
10423,12476
2543,14269
4868,21276
10220,11910
1486,6250
3971,8372
1271,11036
2569,5480
5191,6151
11947,21443
6965,19838
8140,9000
5309,11533
7949,9138
16537,19176
5051,20669
1406,21851
13130,17374
10220,21346
3383,9869
16194,22900
4868,10397
11005,15251
11691,14279
15047,19144
3165,20418
14461,17503
769,3307
20911,22677
16847,19907
3591,20603
4333,12669
4842,19332
2495,7818
156,16917
11681,17688
8073,15605
4305,18344
8892,14056
20547,22260
13435,14307
12763,15781
156,417
9556,13134
11599,17296
7552,18799
13956,21144
9594,19866
1257,13957
8780,15138
3895,16965
19651,22508
12671,17685
10725,21633
10520,11036
11203,15953
12290,14556
515,9377
1814,16086
20351,21825
4314,21022
8140,17286
3566,19863
21722,22545
6858,16428
14781,17027
11359,16609
8216,13523
292,1167
9592,19666
4883,12117
2696,7267
18817,20414
13292,15507
12763,17398
10905,19910
779,14774
3609,5954
1665,8578
3917,4708
8701,19993
7211,10604
5410,5600
6310,17455
2637,10639
374,16435
7967,12410
1271,17849
9223,19250
16148,17536
3591,6484
1932,16194
12290,21246
3847,13367
6044,8701
7076,19750
8801,11241
9177,20547
12397,22180
6578,17792
9448,14123
1501,20497
14274,16210
12655,13781
7844,8692
17228,19060
2914,18717
7196,14697
12942,22008
9440,17939
6862,19366
10044,20251
6390,16349
9654,17066
11086,16069
14957,19748
2812,17232
513,11282
2543,9238
8015,22545
7158,22011
3609,22230
1257,7305
7267,13200
13974,19737
15520,16459
4708,4733
13308,15644
12763,15772
11117,15090
16055,16560
11404,13108
16349,18547
14107,18510
3335,14723
3097,11870
2471,6965
16273,18883
15665,18510
16051,17503
6321,11195
9939,18775
2639,5424
5856,9448
2293,15040
12671,16537
8796,9448
14065,16896
6929,9728
16267,19252
1448,4305
5672,8256
6747,10683
5016,18964
7167,19866
6150,19993
