YAL008W,YBR053C
YAL008W,YBR111C
YAL008W,YBR169C
YAL008W,YBR241C
YAL008W,YBR269C
YAL008W,YCL035C
YAL008W,YDL021W
YAL008W,YDL027C
YAL008W,YDL110C
YAL008W,YDL130W,A
YAL008W,YDR022C
YAL008W,YDR031W
YAL008W,YDR032C
YAL008W,YDR070C
YAL008W,YDR100W
YAL008W,YDR204W
YAL008W,YDR272W
YAL008W,YDR512C
YAL008W,YDR513W
YAL008W,YEL039C
YAL008W,YFR049W
YAL008W,YGL104C
YAL008W,YGL156W
YAL008W,YGR019W
YAL008W,YIL087C
YAL008W,YIL124W
YAL008W,YIL136W
YAL008W,YJL003W
YAL008W,YJL066C
YAL008W,YJL068C
YAL008W,YJL161W
YAL008W,YJL164C
YAL008W,YJR085C
YAL008W,YJR096W
YAL008W,YJR100C
YAL008W,YKL013C
YAL008W,YKL065C
YAL008W,YKL067W
YAL008W,YKL121W
YAL008W,YKL150W
YAL008W,YKL151C
YAL008W,YKR066C
YAL008W,YKR067W
YAL008W,YLL040C
YAL008W,YLR093C
YAL008W,YLR178C
YAL008W,YLR220W
YAL008W,YLR270W
YAL008W,YLR290C
YAL008W,YLR356W
YAL008W,YML004C
YAL008W,YML128C
YAL008W,YMR090W
YAL008W,YMR152W
YAL008W,YMR244C,A
YAL008W,YMR250W
YAL008W,YMR271C
YAL008W,YNL015W
YAL008W,YNL115C
YAL008W,YNL200C
YAL008W,YNL274C
YAL008W,YNR034W,A
YAL008W,YOL082W
YAL008W,YOL083W
YAL008W,YOR152C
YAL008W,YOR173W
YAL008W,YOR185C
YAL008W,YOR215C
YAL008W,YOR285W
YAL008W,YOR289W
YAL008W,YPL006W
YAL008W,YPL123C
YAL008W,YPL203W
YAL008W,YPR026W
YAL008W,YPR098C
YAL009W,YAL041W
YAL009W,YKL214C
YAL010C,YBR255W
YAL010C,YNL051W
YAL010C,YOR350C
YAL011W,YAL041W
YAL011W,YBL104C
YAL011W,YJL074C
YAL011W,YJL201W
YAL012W,YBR213W
YAL012W,YCR059C
YAL012W,YDL059C
YAL012W,YDR098C
YAL012W,YDR353W
YAL012W,YDR432W
YAL012W,YDR502C
YAL012W,YER019W
YAL012W,YER043C
YAL012W,YER055C
YAL012W,YER091C
YAL012W,YER152C
YAL012W,YFL010C
YAL012W,YFL022C
YAL012W,YFR018C
YAL012W,YFR030W
YAL012W,YFR051C
YAL012W,YGL026C
YAL012W,YGL148W
YAL012W,YGL202W
YAL012W,YGL234W
YAL012W,YGR055W
YAL012W,YGR155W
YAL012W,YGR204W
YAL012W,YGR285C
YAL012W,YHR025W
YAL012W,YHR176W
YAL012W,YHR179W
YAL012W,YHR183W
YAL012W,YIL074C
YAL012W,YIL154C
YAL012W,YIR017C
YAL012W,YJL060W
YAL012W,YJL158C
YAL012W,YJL212C
